start,end
1.51,7.45
201.86,222.89
255.07,359.46
371.17,415.86
422.86,435.05
464.16,493.55
510.16,536.16
561.66,673.26
727.06,862.07
893.85,981.07
993.25,1023.26
1029.75,1036.26
1043.26,1073.51
1136.25,1156.16
1245.18,1250.25
1311.07,1354.65
1387.75,1390.87
1398.15,1402.88
1488.25,1776.66
1800.76,1807.57
1868.75,1969.25
2085.06,2240.87
2243.05,2276.01
2293,2449.25
2482.25,2594.55
2605.97,2609.97
2634.86,2636.36
2653.55,2696.46
2701.25,2732.26
2732.96,2747.46
2761.65,2797.15
2832.15,2838.56
2846.53,2849.76
2933.73,2935.76
2954.55,2955.55
2956.65,2958.15
3004.05,3024.38
3157.56,3166.66
3179.55,3187.56
3188.46,3231.28
3338.97,3347.65
3356.99,3367.37
3419.25,3428.66
3439.56,3626.86
3659.86,3723.05
3729.37,3804.75
3838.97,4113.07
4430.85,4438.25
4480.55,4488.98
4524.55,4531.96
4546.16,4612.17
4849.96,4853.68
4875.47,4911.75
4919.05,5104.35
5198.76,5220.05
